order_details_id,order_id,order_date,order_time,item_id,Payment Method,Platform,Branch,Quantity,Order Status
107,42,07-06-2024,01:15:18 PM,115,online,Swiggy,Banjara Hills,2,complete
108,43,11-11-2025,10:27:50 PM,126,online,Swiggy,Mehdipatnam,2,complete
109,43,11-11-2025,10:27:50 PM,112,online,Swiggy,Mehdipatnam,1,complete
110,43,11-11-2025,10:27:50 PM,107,online,Swiggy,Mehdipatnam,1,complete
111,44,22-02-2025,08:02:38 PM,116,online,Swiggy,Gachibowli,3,complete
112,45,16-03-2024,10:17:47 PM,114,online,Swiggy,Charminar,1,complete
113,45,16-03-2024,10:17:47 PM,123,online,Swiggy,Charminar,1,complete
114,45,16-03-2024,10:17:47 PM,113,online,Swiggy,Charminar,2,complete
115,45,16-03-2024,10:17:47 PM,112,online,Swiggy,Charminar,1,complete
116,46,27-07-2024,07:22:42 PM,111,cash,local,Mehdipatnam,2,complete
117,46,27-07-2024,07:22:42 PM,131,cash,local,Mehdipatnam,1,complete
118,46,27-07-2024,07:22:42 PM,111,cash,local,Mehdipatnam,2,complete
119,47,16-07-2025,03:56:36 PM,111,online,Swiggy,Banjara Hills,1,complete
120,47,16-07-2025,03:56:36 PM,128,online,Swiggy,Banjara Hills,2,complete
121,48,05-10-2025,10:16:00 PM,123,online,Zomato,Gachibowli,1,complete
122,49,21-03-2024,02:59:06 PM,126,online,local,Banjara Hills,2,complete
123,49,21-03-2024,02:59:06 PM,121,online,local,Banjara Hills,1,complete
124,49,21-03-2024,02:59:06 PM,129,online,local,Banjara Hills,5,complete
125,50,31-03-2024,04:09:28 PM,108,online,Zomato,Charminar,3,complete
126,51,25-08-2025,06:43:20 PM,107,cash,local,Banjara Hills,2,complete
127,52,12-02-2024,12:36:50 PM,106,online,local,Gachibowli,1,complete
128,53,09-08-2025,07:31:07 PM,106,cash,local,Charminar,4,complete
129,53,09-08-2025,07:31:07 PM,121,cash,local,Charminar,2,complete
130,53,09-08-2025,07:31:07 PM,127,cash,local,Charminar,2,complete
131,54,08-11-2025,09:28:48 PM,128,online,Swiggy,Charminar,4,complete
132,54,08-11-2025,09:28:48 PM,106,online,Swiggy,Charminar,2,complete
133,54,08-11-2025,09:28:48 PM,117,online,Swiggy,Charminar,4,complete
134,55,16-06-2024,12:42:40 PM,111,cash,local,Gachibowli,1,complete
135,55,16-06-2024,12:42:40 PM,116,cash,local,Gachibowli,2,complete
136,55,16-06-2024,12:42:40 PM,112,cash,local,Gachibowli,4,complete
137,56,01-06-2025,10:41:35 AM,105,cash,local,Banjara Hills,3,complete
138,56,01-06-2025,10:41:35 AM,110,cash,local,Banjara Hills,1,complete
139,56,01-06-2025,10:41:35 AM,105,cash,local,Banjara Hills,3,complete
140,57,04-08-2024,05:53:30 PM,112,online,Swiggy,Charminar,2,complete
141,57,04-08-2024,05:53:30 PM,107,online,Swiggy,Charminar,2,complete
142,58,10-06-2025,10:22:39 PM,107,online,Zomato,Gachibowli,2,cancelled
143,58,10-06-2025,10:22:39 PM,128,online,Zomato,Gachibowli,2,cancelled
144,59,02-03-2025,12:30:11 PM,116,online,Zomato,Charminar,1,complete
145,60,11-03-2024,03:17:01 PM,117,online,Swiggy,Mehdipatnam,3,complete
146,61,29-03-2025,03:51:56 PM,117,online,Zomato,Gachibowli,3,cancelled
147,61,29-03-2025,03:51:56 PM,108,online,Zomato,Gachibowli,1,cancelled
148,61,29-03-2025,03:51:56 PM,106,online,Zomato,Gachibowli,1,cancelled
149,62,16-01-2025,06:02:36 PM,128,online,Zomato,Charminar,2,complete
150,62,16-01-2025,06:02:36 PM,111,online,Zomato,Charminar,3,complete
151,63,26-10-2024,02:23:59 PM,108,online,Swiggy,Attapur,1,complete
152,63,26-10-2024,02:23:59 PM,121,online,Swiggy,Attapur,2,complete
153,64,07-11-2024,06:34:34 PM,107,online,Zomato,Gachibowli,2,complete
154,64,07-11-2024,06:34:34 PM,128,online,Zomato,Gachibowli,2,complete
155,64,07-11-2024,06:34:34 PM,125,online,Zomato,Gachibowli,4,complete
156,65,29-03-2025,01:44:03 PM,129,online,local,Gachibowli,1,complete
157,65,29-03-2025,01:44:03 PM,114,online,local,Gachibowli,1,complete
158,66,14-01-2025,08:19:07 AM,128,online,Zomato,Banjara Hills,4,complete
159,66,14-01-2025,08:19:07 AM,129,online,Zomato,Banjara Hills,1,complete
160,67,20-04-2024,08:24:58 AM,105,cash,local,Gachibowli,3,complete
161,67,20-04-2024,08:24:58 AM,128,cash,local,Gachibowli,4,complete
162,68,04-04-2025,04:27:13 PM,106,cash,local,Attapur,4,complete
163,69,03-09-2024,07:20:53 AM,111,online,Swiggy,Gachibowli,1,cancelled
164,70,16-08-2025,09:37:08 AM,103,online,Zomato,Banjara Hills,1,complete
165,70,16-08-2025,09:37:08 AM,101,online,Zomato,Banjara Hills,2,complete
166,71,23-08-2025,07:17:35 AM,101,online,Zomato,Gachibowli,2,complete
167,72,31-08-2024,09:41:32 AM,118,online,Swiggy,Mehdipatnam,5,complete
168,72,31-08-2024,09:41:32 AM,104,online,Swiggy,Mehdipatnam,5,complete
169,73,28-06-2025,04:10:35 PM,117,online,Swiggy,Banjara Hills,1,complete
170,73,28-06-2025,04:10:35 PM,106,online,Swiggy,Banjara Hills,2,complete
171,73,28-06-2025,04:10:35 PM,111,online,Swiggy,Banjara Hills,2,complete
172,73,28-06-2025,04:10:35 PM,120,online,Swiggy,Banjara Hills,1,complete
173,74,22-09-2024,09:46:06 PM,107,online,Swiggy,Gachibowli,2,complete
174,75,21-01-2024,07:50:47 AM,128,online,Zomato,Banjara Hills,2,complete
175,76,15-03-2025,09:34:34 PM,111,online,Zomato,Gachibowli,2,complete
176,77,02-08-2025,09:44:13 PM,111,online,Swiggy,Gachibowli,3,complete
177,78,02-07-2025,09:15:18 AM,128,online,Swiggy,Gachibowli,1,complete
178,78,02-07-2025,09:15:18 AM,128,online,Swiggy,Gachibowli,2,complete
179,78,02-07-2025,09:15:18 AM,128,online,Swiggy,Gachibowli,3,complete
180,79,11-02-2024,09:02:59 AM,112,online,local,Attapur,3,complete
181,79,11-02-2024,09:02:59 AM,105,online,local,Attapur,2,complete
182,80,01-03-2025,02:07:40 PM,126,online,Swiggy,Gachibowli,2,complete
183,80,01-03-2025,02:07:40 PM,128,online,Swiggy,Gachibowli,4,complete
184,80,01-03-2025,02:07:40 PM,116,online,Swiggy,Gachibowli,1,complete
185,81,03-09-2025,07:09:41 AM,130,cash,local,Gachibowli,1,complete
186,81,03-09-2025,07:09:41 AM,109,cash,local,Gachibowli,1,complete
187,81,03-09-2025,07:09:41 AM,103,cash,local,Gachibowli,1,complete
188,82,27-02-2025,01:55:16 AM,112,cash,local,Attapur,3,complete
189,82,27-02-2025,01:55:16 AM,114,cash,local,Attapur,1,complete
190,83,12-08-2024,02:04:10 PM,108,online,Zomato,Charminar,1,refunded
191,83,12-08-2024,02:04:10 PM,118,online,Zomato,Charminar,1,refunded
192,83,12-08-2024,02:04:10 PM,127,online,Zomato,Charminar,2,refunded
193,84,03-09-2025,09:34:30 PM,117,online,Zomato,Attapur,1,complete
194,85,03-07-2025,07:35:47 PM,123,online,Swiggy,Banjara Hills,3,cancelled
195,86,24-03-2025,12:33:22 PM,115,online,Swiggy,Charminar,4,complete
196,87,07-06-2024,07:03:47 AM,104,online,Zomato,Gachibowli,4,complete
197,87,07-06-2024,07:03:47 AM,128,online,Zomato,Gachibowli,1,complete
198,87,07-06-2024,07:03:47 AM,106,online,Zomato,Gachibowli,1,complete
199,88,17-08-2025,03:38:09 PM,115,cash,local,Charminar,2,complete
200,88,17-08-2025,03:38:09 PM,122,cash,local,Charminar,1,complete
201,89,22-11-2025,08:16:20 AM,105,cash,Zomato,Mehdipatnam,1,complete
202,90,13-10-2025,07:06:36 AM,105,cash,local,Attapur,1,complete
203,90,13-10-2025,07:06:36 AM,102,cash,local,Attapur,1,complete
204,91,03-01-2025,02:03:27 PM,109,online,local,Charminar,1,complete
205,92,11-08-2025,04:51:28 PM,131,online,local,Attapur,2,complete
206,92,11-08-2025,04:51:28 PM,129,online,local,Attapur,1,complete
207,92,11-08-2025,04:51:28 PM,124,online,local,Attapur,1,complete
208,93,24-07-2025,12:35:31 AM,130,online,local,Charminar,1,complete
209,93,24-07-2025,12:35:31 AM,127,online,local,Charminar,4,complete
210,94,26-06-2024,07:28:44 AM,102,online,Zomato,Mehdipatnam,1,cancelled
211,94,26-06-2024,07:28:44 AM,102,online,Zomato,Mehdipatnam,1,cancelled
212,95,07-05-2024,08:18:50 PM,129,online,local,Mehdipatnam,3,complete
213,96,28-05-2024,09:43:00 PM,106,online,Swiggy,Banjara Hills,2,complete
214,96,28-05-2024,09:43:00 PM,111,online,Swiggy,Banjara Hills,2,complete
215,97,14-07-2024,08:50:56 PM,122,online,Zomato,Gachibowli,1,complete
216,97,14-07-2024,08:50:56 PM,120,online,Zomato,Gachibowli,1,complete
217,98,29-04-2025,09:36:07 PM,126,online,local,Gachibowli,2,complete
218,99,29-06-2025,08:47:21 PM,107,online,local,Mehdipatnam,3,complete
219,100,11-09-2025,06:44:07 PM,130,online,local,Gachibowli,1,complete
220,100,11-09-2025,06:44:07 PM,114,online,local,Gachibowli,3,complete
221,100,11-09-2025,06:44:07 PM,106,online,local,Gachibowli,1,complete
222,100,11-09-2025,06:44:07 PM,129,online,local,Gachibowli,2,complete
223,100,11-09-2025,06:44:07 PM,121,online,local,Gachibowli,2,complete
224,101,17-06-2025,11:09:10 PM,108,online,Zomato,Gachibowli,1,complete
225,101,17-06-2025,11:09:10 PM,132,online,Zomato,Gachibowli,3,complete
226,101,17-06-2025,11:09:10 PM,107,online,Zomato,Gachibowli,1,complete
227,101,17-06-2025,11:09:10 PM,128,online,Zomato,Gachibowli,5,complete
228,102,13-02-2025,10:37:29 AM,132,online,local,Charminar,2,complete
229,102,13-02-2025,10:37:29 AM,105,online,local,Charminar,2,complete
230,102,13-02-2025,10:37:29 AM,105,online,local,Charminar,1,complete
231,103,04-03-2025,01:41:34 AM,123,online,local,Gachibowli,3,complete
232,104,11-11-2025,09:07:24 AM,121,online,Zomato,Charminar,1,complete
233,104,11-11-2025,09:07:24 AM,128,online,Zomato,Charminar,5,complete
234,104,11-11-2025,09:07:24 AM,103,online,Zomato,Charminar,1,complete
235,104,11-11-2025,09:07:24 AM,104,online,Zomato,Charminar,2,complete
236,104,11-11-2025,09:07:24 AM,103,online,Zomato,Charminar,2,complete
237,105,02-04-2025,12:39:27 AM,108,online,local,Charminar,2,cancelled
238,105,02-04-2025,12:39:27 AM,116,online,local,Charminar,3,cancelled
239,105,02-04-2025,12:39:27 AM,111,online,local,Charminar,2,cancelled
240,106,31-05-2024,08:26:14 PM,117,online,Swiggy,Banjara Hills,5,complete
241,106,31-05-2024,08:26:14 PM,112,online,Swiggy,Banjara Hills,2,complete
242,106,31-05-2024,08:26:14 PM,108,online,Swiggy,Banjara Hills,1,complete
243,107,12-04-2025,05:08:44 PM,125,online,local,Banjara Hills,1,complete
244,107,12-04-2025,05:08:44 PM,106,online,local,Banjara Hills,2,complete
245,108,09-12-2025,02:47:14 PM,124,online,Swiggy,Attapur,4,complete
246,109,24-06-2024,08:48:44 PM,112,online,Swiggy,Attapur,1,complete
247,110,14-03-2025,08:37:05 AM,115,cash,local,Charminar,2,complete
248,110,14-03-2025,08:37:05 AM,101,cash,local,Charminar,4,complete
249,110,14-03-2025,08:37:05 AM,118,cash,local,Charminar,3,complete
250,110,14-03-2025,08:37:05 AM,105,cash,local,Charminar,1,complete
251,111,18-03-2025,12:46:18 PM,109,cash,local,Gachibowli,1,complete
252,111,18-03-2025,12:46:18 PM,118,cash,local,Gachibowli,3,complete
253,112,06-03-2025,10:46:44 PM,106,online,Swiggy,Mehdipatnam,1,complete
254,113,02-06-2025,01:02:11 PM,125,online,Zomato,Gachibowli,1,cancelled
255,114,25-09-2025,09:59:21 PM,130,online,Zomato,Mehdipatnam,1,complete
256,114,25-09-2025,09:59:21 PM,118,online,Zomato,Mehdipatnam,1,complete
257,115,13-07-2025,09:00:52 PM,110,online,Zomato,Mehdipatnam,3,complete
258,116,15-04-2025,03:58:46 PM,128,cash,local,Charminar,1,complete
259,116,15-04-2025,03:58:46 PM,117,cash,local,Charminar,2,complete
260,116,15-04-2025,03:58:46 PM,117,cash,local,Charminar,1,complete
261,116,15-04-2025,03:58:46 PM,106,cash,local,Charminar,1,complete
262,117,17-06-2025,08:21:56 PM,106,online,Zomato,Mehdipatnam,3,complete
263,117,17-06-2025,08:21:56 PM,121,online,Zomato,Mehdipatnam,5,complete
264,117,17-06-2025,08:21:56 PM,118,online,Zomato,Mehdipatnam,1,complete
265,118,08-04-2024,08:37:35 PM,107,online,Swiggy,Attapur,2,complete
266,118,08-04-2024,08:37:35 PM,112,online,Swiggy,Attapur,1,complete
267,118,08-04-2024,08:37:35 PM,121,online,Swiggy,Attapur,2,complete
268,119,06-07-2025,12:36:33 PM,109,cash,local,Gachibowli,2,complete
269,119,06-07-2025,12:36:33 PM,131,cash,local,Gachibowli,2,complete
270,120,10-08-2024,10:53:05 AM,101,online,Zomato,Gachibowli,1,complete
271,120,10-08-2024,10:53:05 AM,102,online,Zomato,Gachibowli,2,complete
272,121,16-09-2025,08:04:35 PM,118,cash,local,Charminar,1,complete
273,121,16-09-2025,08:04:35 PM,113,cash,local,Charminar,1,complete
274,122,07-04-2024,08:09:26 PM,121,cash,local,Banjara Hills,1,complete
275,122,07-04-2024,08:09:26 PM,114,cash,local,Banjara Hills,2,complete
276,122,07-04-2024,08:09:26 PM,131,cash,local,Banjara Hills,2,complete
277,123,29-10-2024,09:29:03 PM,111,online,Zomato,Mehdipatnam,1,complete
278,124,08-10-2024,04:43:59 PM,120,online,Swiggy,Gachibowli,1,complete
279,124,08-10-2024,04:43:59 PM,129,online,Swiggy,Gachibowli,1,complete
280,125,22-07-2025,05:42:14 PM,124,cash,local,Mehdipatnam,1,complete
281,126,06-09-2024,01:26:05 PM,128,online,Zomato,Charminar,1,complete
282,126,06-09-2024,01:26:05 PM,106,online,Zomato,Charminar,1,complete
283,127,02-02-2025,12:17:21 AM,111,online,Zomato,Mehdipatnam,4,complete
284,128,22-08-2025,10:48:49 PM,123,online,local,Attapur,4,refunded
285,129,12-10-2024,12:33:00 PM,123,online,Swiggy,Mehdipatnam,1,refunded
286,130,27-10-2025,12:57:20 AM,123,online,Swiggy,Attapur,2,complete
287,130,27-10-2025,12:57:20 AM,131,online,Swiggy,Attapur,1,complete
288,131,30-09-2024,10:15:49 PM,127,online,local,Banjara Hills,1,complete
289,132,11-02-2024,01:17:24 PM,112,online,local,Charminar,2,complete
290,132,11-02-2024,01:17:24 PM,107,online,local,Charminar,3,complete
291,132,11-02-2024,01:17:24 PM,106,online,local,Charminar,1,complete
292,132,11-02-2024,01:17:24 PM,112,online,local,Charminar,1,complete
293,132,11-02-2024,01:17:24 PM,132,online,local,Charminar,2,complete
294,133,15-11-2025,03:23:14 PM,111,online,local,Charminar,4,complete
295,133,15-11-2025,03:23:14 PM,130,online,local,Charminar,1,complete
296,134,18-04-2025,12:19:00 PM,122,online,Swiggy,Banjara Hills,3,complete
297,134,18-04-2025,12:19:00 PM,120,online,Swiggy,Banjara Hills,2,complete
298,135,30-12-2024,10:48:10 AM,101,cash,local,Banjara Hills,1,complete
299,135,30-12-2024,10:48:10 AM,124,cash,local,Banjara Hills,2,complete
300,136,01-01-2024,07:01:37 AM,103,online,Zomato,Banjara Hills,1,complete
301,137,12-04-2025,01:05:24 PM,128,cash,local,Banjara Hills,3,cancelled
302,137,12-04-2025,01:05:24 PM,113,cash,local,Banjara Hills,2,cancelled
303,137,12-04-2025,01:05:24 PM,111,cash,local,Banjara Hills,3,cancelled
304,137,12-04-2025,01:05:24 PM,106,cash,local,Banjara Hills,2,cancelled
305,137,12-04-2025,01:05:24 PM,117,cash,local,Banjara Hills,2,cancelled
306,138,11-12-2025,12:44:36 PM,121,online,Swiggy,Gachibowli,1,complete
307,138,11-12-2025,12:44:36 PM,117,online,Swiggy,Gachibowli,1,complete
308,139,16-03-2024,01:17:35 PM,128,online,local,Charminar,2,complete
309,139,16-03-2024,01:17:35 PM,121,online,local,Charminar,2,complete
310,139,16-03-2024,01:17:35 PM,109,online,local,Charminar,2,complete
311,140,13-01-2025,08:33:32 PM,106,cash,local,Mehdipatnam,2,complete
312,141,17-01-2024,01:56:10 PM,110,online,Zomato,Attapur,1,cancelled
313,141,17-01-2024,01:56:10 PM,107,online,Zomato,Attapur,1,cancelled
314,142,02-12-2025,05:31:10 PM,124,online,Zomato,Gachibowli,1,complete
315,142,02-12-2025,05:31:10 PM,119,online,Zomato,Gachibowli,3,complete
316,143,16-05-2025,06:53:51 PM,128,online,Swiggy,Banjara Hills,4,complete
317,143,16-05-2025,06:53:51 PM,106,online,Swiggy,Banjara Hills,1,complete
318,143,16-05-2025,06:53:51 PM,111,online,Swiggy,Banjara Hills,2,complete
319,143,16-05-2025,06:53:51 PM,112,online,Swiggy,Banjara Hills,1,complete
320,143,16-05-2025,06:53:51 PM,107,online,Swiggy,Banjara Hills,1,complete
321,144,22-07-2025,12:21:29 PM,121,online,Zomato,Attapur,2,complete
322,144,22-07-2025,12:21:29 PM,129,online,Zomato,Attapur,2,complete
323,145,13-08-2024,08:19:47 PM,128,online,Swiggy,Banjara Hills,2,complete
324,145,13-08-2024,08:19:47 PM,126,online,Swiggy,Banjara Hills,3,complete
325,146,03-05-2025,03:19:35 PM,132,cash,local,Gachibowli,3,complete
326,147,15-12-2025,12:04:35 AM,114,online,Zomato,Charminar,1,complete
327,148,26-04-2025,05:56:54 PM,131,cash,local,Banjara Hills,3,complete
328,148,26-04-2025,05:56:54 PM,115,cash,local,Banjara Hills,2,complete
329,149,05-05-2024,05:38:13 PM,131,online,Zomato,Mehdipatnam,2,complete
330,149,05-05-2024,05:38:13 PM,132,online,Zomato,Mehdipatnam,2,complete
331,150,14-08-2024,02:29:23 PM,115,cash,local,Charminar,1,complete
332,151,10-07-2025,01:14:50 PM,113,cash,local,Attapur,3,complete
333,151,10-07-2025,01:14:50 PM,116,cash,local,Attapur,1,complete
334,151,10-07-2025,01:14:50 PM,114,cash,local,Attapur,1,complete
335,151,10-07-2025,01:14:50 PM,109,cash,local,Attapur,5,complete
336,152,07-07-2025,01:09:06 PM,108,online,Swiggy,Banjara Hills,1,complete
337,152,07-07-2025,01:09:06 PM,128,online,Swiggy,Banjara Hills,1,complete
338,152,07-07-2025,01:09:06 PM,121,online,Swiggy,Banjara Hills,2,complete
339,152,07-07-2025,01:09:06 PM,112,online,Swiggy,Banjara Hills,1,complete
340,153,29-11-2025,12:33:54 PM,123,online,local,Banjara Hills,1,complete
341,154,28-10-2025,09:13:08 AM,103,online,Zomato,Mehdipatnam,1,cancelled
342,154,28-10-2025,09:13:08 AM,105,online,Zomato,Mehdipatnam,1,cancelled
343,155,03-08-2025,08:50:28 AM,101,online,local,Charminar,2,complete
344,156,27-02-2024,10:24:26 AM,103,cash,local,Banjara Hills,2,complete
